,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
117610,236379,0,Cash loans,M,N,N,0,225000.0,513531.0,21888.0,459000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-19538,-3237,-2843.0,-3092,,1,1,0,1,0,0,Managers,2.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Self-employed,,0.6509486613301455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2146.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
193696,324611,0,Revolving loans,F,N,Y,1,265500.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.0116569999999999,-13064,-814,-913.0,-77,,1,1,0,1,0,0,,3.0,1,1,MONDAY,19,0,1,1,0,0,0,Business Entity Type 3,,0.4662786698381991,0.3441550073724169,1.0,,0.998,,,0.96,0.4138,0.7083,,0.088,,0.8963,,0.3409,1.0,,0.998,,,0.9667,0.4138,0.7083,,0.09,,0.9338,,0.3609,1.0,,0.998,,,0.96,0.4138,0.7083,,0.0896,,0.9124,,0.348,,block of flats,0.7791,Monolithic,No,0.0,0.0,0.0,0.0,-408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0
238953,376789,0,Cash loans,F,N,N,0,99000.0,1078200.0,31653.0,900000.0,Family,Working,Higher education,Married,House / apartment,0.010147,-20303,-11333,-10150.0,-3778,,1,1,0,1,0,0,Core staff,2.0,2,2,MONDAY,9,0,0,0,0,1,1,School,,0.6583986558177598,0.5424451438613613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
97940,213718,0,Cash loans,F,Y,Y,2,76500.0,675000.0,21906.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.025164,-14480,-2923,-4539.0,-4546,2.0,1,1,1,1,1,0,,4.0,2,2,THURSDAY,11,0,0,0,0,0,0,Government,0.5332587069116485,0.2962028246127759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
247753,386670,0,Cash loans,F,Y,N,0,225000.0,1078200.0,28570.5,900000.0,Unaccompanied,State servant,Higher education,Civil marriage,House / apartment,0.006629,-9730,-298,-3661.0,-2395,15.0,1,1,1,1,1,1,Core staff,2.0,2,2,SUNDAY,6,0,0,0,0,1,1,Bank,,0.6686699550060893,0.3296550543128238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1008.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
114064,232286,1,Cash loans,M,N,N,0,126000.0,315000.0,24885.0,315000.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.010966,-8431,-877,-8327.0,-1089,,1,1,0,1,1,1,Core staff,1.0,2,2,MONDAY,18,0,0,0,0,0,0,Trade: type 3,0.0690577793311611,0.3544148386139655,0.0170168719756039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-786.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,2.0,3.0
210824,344314,0,Cash loans,M,Y,N,1,270000.0,598500.0,28791.0,598500.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.035792,-9450,-453,-4302.0,-2130,9.0,1,1,0,1,1,0,,3.0,2,2,THURSDAY,21,0,0,0,0,0,0,Business Entity Type 3,0.1158161563983987,0.5406838473078623,0.5172965813614878,0.0144,,0.9717,0.6124,0.0268,0.0,0.069,0.0417,0.0417,0.0203,0.0118,0.0163,0.0,0.0062,0.0147,,0.9717,0.6276,0.027,0.0,0.069,0.0417,0.0417,0.0207,0.0129,0.017,0.0,0.0066,0.0146,,0.9717,0.6176,0.0269,0.0,0.069,0.0417,0.0417,0.0206,0.012,0.0166,0.0,0.0063,reg oper account,block of flats,0.0146,,No,0.0,0.0,0.0,0.0,-337.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
189380,319570,0,Cash loans,M,Y,N,0,135000.0,1042560.0,32863.5,900000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.020713,-8699,-673,-5328.0,-1363,13.0,1,1,1,1,0,0,Managers,2.0,3,3,THURSDAY,10,0,0,0,1,1,0,Business Entity Type 3,,0.3500292476366663,0.3740208032583212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-639.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
65367,175814,0,Revolving loans,M,N,Y,0,135000.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-18182,-787,-807.0,-801,,1,1,1,1,0,0,Laborers,2.0,2,2,MONDAY,16,0,0,0,0,1,1,Business Entity Type 3,0.5234963916567136,0.3735061414196097,0.3280631605201915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
88727,203018,0,Cash loans,F,N,Y,0,148500.0,805500.0,28665.0,805500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.028663,-15986,-2502,-441.0,-432,,1,1,1,1,0,0,Laborers,2.0,2,2,MONDAY,11,0,0,0,0,1,1,Construction,,0.0907322857367242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,-352.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
